,author,published_at,updated_at,like_count,text
1137,@_sayan_roy_,2023-06-24T22:40:24Z,2023-06-24T22:40:24Z,0,"Carl Sagan clone, if you're seeing this, make a new Cosmos series. Don't just limit yoursself to Netflix narration and allow NDT to be the Cosmos guy."
1138,@BoogieSpiderman,2023-06-24T22:13:24Z,2023-06-24T22:13:24Z,0,So is this different from the series that already started in China?
1139,@GoGoTwice,2023-06-24T22:08:17Z,2023-06-24T22:08:17Z,287,"If they ever make the third book into a tv series, I can’t even imagine what that will look like 😮"
1140,@dewdrops3286,2023-06-24T22:03:28Z,2023-06-24T22:03:28Z,2,"From the same creators that ruined game of thrones, no ty 😂"
1141,@xiongferguson4709,2023-06-24T21:58:41Z,2023-06-24T21:58:41Z,1,这个叶文洁真的被王子文 甩了几条街了
1142,@arunodbs,2023-06-24T21:44:20Z,2023-06-24T21:44:20Z,1,Yes! Yes! Yes!
1143,@SIZModig,2023-06-24T21:40:55Z,2023-06-24T21:40:55Z,1,"I can't say I liked the book, sadly, hoping the show is more entertaining..."
1144,@orcanimal,2023-06-24T21:32:23Z,2023-06-24T21:32:23Z,1,The GOT creators should never work again after the shit they pulled.
1145,@nestharonblackfeather6713,2023-06-24T20:56:40Z,2023-06-24T20:56:40Z,1,This brings back Cloud Atlas memories or The Fountain.
1146,@simtill,2023-06-24T20:49:44Z,2023-06-24T20:49:44Z,1,Please don't screw this up.
1147,@damsgillou,2023-06-24T20:44:28Z,2023-06-24T20:44:28Z,2,"Just for those who were wondering, if necessary, here is the name of the music played in the teaser: Escape! (Kummerspeck Remix); it is a title from the following album: Philip Glass: Cinematix... :)"
1148,@mmimine4881,2023-06-24T20:29:52Z,2023-06-24T20:29:52Z,2,I think china did a better job than netflix
1149,@angiewinchester3384,2023-06-24T20:19:34Z,2023-06-24T20:19:34Z,0,Not watching it until it gets renewed.
